year,month,trips,avg_fare,avg_tip,avg_distance,total_revenue,taxi_type
2024,5,15537468,27.29,1.23,5.08,423987611.0,Uber
2020,1,14547053,16.84,0.55,4.46,245002485.0,Uber
2022,7,12557678,24.42,1.05,5.2,306659480.0,Uber
2022,8,4684222,22.04,1.08,5.08,103258234.0,Lyft
2019,5,4680216,19.02,0.96,5.07,89023944.0,Lyft
2019,5,15822130,17.94,0.53,4.75,283787180.0,Uber
2021,10,4429308,23.09,1.12,5.04,102293775.0,Lyft
2022,11,5117729,21.96,1.1,4.95,112397821.0,Lyft
2022,7,4887929,21.31,1.06,5.02,104158579.0,Lyft
2025,1,15353461,24.69,1.0,4.96,379110550.0,Uber
2021,10,29394,18.4,0.42,3.94,540841.0,Via
2021,10,12064915,22.55,0.97,4.82,272026063.0,Uber
2019,5,1029162,9.89,0.16,3.59,10174886.0,Via
2022,11,12949701,24.51,1.15,5.06,317415555.0,Uber
2025,1,5049147,22.94,1.16,4.52,115833075.0,Lyft
2022,8,12479661,24.46,1.04,5.24,305278896.0,Uber
2019,5,742050,17.5,0.32,4.14,12988673.0,Juno
2021,5,10793322,22.36,0.69,4.76,241302024.0,Uber
2022,1,3925012,19.51,0.86,4.76,76571715.0,Lyft
2021,5,3813685,23.34,0.98,5.05,89004651.0,Lyft
2022,1,10807166,19.73,0.79,4.58,213267949.0,Uber
2021,5,96317,29.81,0.58,5.54,2870898.0,Via
2022,2,11422406,21.45,0.88,4.72,245036396.0,Uber
2021,8,93694,20.84,0.46,5.01,1952549.0,Via
2021,8,10178264,23.39,0.9,5.01,238029095.0,Uber
2021,8,4209006,22.89,0.99,4.99,96326458.0,Lyft
2022,4,12991437,24.56,1.11,5.09,319077229.0,Uber
2022,2,4578217,20.36,0.92,4.77,93229162.0,Lyft
2022,4,4741250,22.76,1.12,4.97,107931362.0,Lyft
2019,11,105871,24.94,0.54,5.65,2640125.0,Juno
2019,11,773894,10.9,0.18,3.42,8433516.0,Via
2020,3,9815010,15.63,0.44,4.44,153388472.0,Uber
2019,11,15568074,16.67,0.57,4.5,259480972.0,Uber
2024,6,15157301,27.04,1.17,5.16,409902336.0,Uber
2020,3,3219316,19.17,0.82,5.19,61712632.0,Lyft
2019,11,5144273,19.75,0.85,5.49,101573902.0,Lyft
2024,6,4965004,26.81,1.35,5.18,133095787.0,Lyft
2020,3,336586,11.67,0.2,3.58,3929090.0,Via
2020,8,3071704,19.66,0.73,5.01,60386869.0,Lyft
2020,9,3115490,19.3,0.76,4.67,60127138.0,Lyft
2020,8,7849164,17.74,0.34,4.55,139239487.0,Uber
2021,4,3768695,22.61,0.92,5.01,85226024.0,Lyft
2020,9,142000,26.16,0.47,5.78,3714144.0,Via
2019,12,16064967,18.12,0.63,4.48,291078970.0,Uber
2020,2,15706384,15.8,0.52,4.44,248094586.0,Uber
2020,10,3321476,19.32,0.78,4.45,64177598.0,Lyft
2021,4,10225433,20.77,0.57,4.56,212432420.0,Uber
2020,10,147529,25.6,0.44,5.53,3777322.0,Via
2020,9,8838625,17.51,0.41,4.67,154728580.0,Uber
2020,8,167675,26.54,0.44,6.27,4449736.0,Via
2019,12,706888,11.97,0.21,3.48,8463670.0,Via
2020,2,5339045,19.64,0.9,5.02,104848449.0,Lyft
2019,12,5430165,20.37,0.9,4.96,110633853.0,Lyft
2021,1,110010,25.6,0.45,5.89,2815904.0,Via
2021,1,3094185,17.8,0.69,4.61,55080822.0,Lyft
2020,2,641903,10.77,0.18,3.27,6910133.0,Via
2020,10,9788368,17.64,0.43,4.53,172700828.0,Uber
2021,1,8693609,16.89,0.43,4.45,146795203.0,Uber
2021,4,104097,28.66,0.54,5.42,2983389.0,Via
2019,10,407475,18.32,0.38,4.4,7464205.0,Juno
2019,6,674832,17.66,0.35,4.33,11915991.0,Juno
2021,3,107298,27.09,0.52,5.68,2906363.0,Via
2021,7,92952,22.18,0.49,5.08,2061444.0,Via
2021,7,4229603,23.22,1.01,4.97,98195003.0,Lyft
2019,6,930645,10.67,0.18,3.72,9933018.0,Via
2021,3,3946540,20.67,0.79,4.91,81576248.0,Lyft
2019,10,898521,10.45,0.17,3.46,9390000.0,Via
2019,10,14462950,18.14,0.62,4.64,262428739.0,Uber
2021,3,10160995,19.23,0.49,4.53,195397419.0,Uber
2019,10,5345188,19.71,0.85,5.47,105376105.0,Lyft
2019,6,14354540,18.95,0.6,4.73,272068900.0,Uber
2019,6,4996954,19.08,0.96,5.1,95364922.0,Lyft
2021,7,10686338,23.55,0.86,4.95,251675164.0,Uber
2020,7,7073873,18.75,0.46,4.36,132651692.0,Uber
2020,7,160818,26.88,0.46,6.07,4322464.0,Via
2021,11,4221777,22.43,1.1,5.02,94698304.0,Lyft
2022,6,4729404,23.92,1.21,5.15,113134203.0,Lyft
2024,1,14432133,24.32,1.02,4.9,351044783.0,Uber
2020,7,2715481,20.72,0.71,5.43,56276773.0,Lyft
2024,1,5230946,22.91,1.16,4.67,119820139.0,Lyft
2021,11,11795958,22.75,0.98,4.96,268352974.0,Uber
2023,5,14271122,26.21,1.21,5.12,374005232.0,Uber
2022,6,13029588,25.52,1.15,5.16,332474338.0,Uber
2023,5,5569610,23.57,1.17,5.24,131248455.0,Lyft
2023,12,6242445,23.97,1.23,5.08,149606767.0,Lyft
2022,5,13302793,26.05,1.16,5.19,346579455.0,Uber
2022,12,13990304,25.39,1.23,5.0,355211253.0,Uber
2023,12,14272800,27.13,1.26,5.1,387217593.0,Uber
2024,11,15124249,26.82,1.12,5.19,405703086.0,Uber
2023,1,13566397,21.96,0.98,4.92,297902332.0,Uber
2022,5,4831370,24.37,1.2,5.08,117741795.0,Lyft
2024,11,4860495,25.15,1.32,4.67,122228303.0,Lyft
2022,12,5657733,22.09,1.11,4.79,124962571.0,Lyft
2023,1,4898724,20.48,0.97,4.72,100325995.0,Lyft
2021,12,4252177,22.49,1.11,5.12,95635897.0,Lyft
2022,9,12880734,26.29,1.18,5.3,338681711.0,Uber
2020,6,2310322,19.9,0.68,5.36,45965258.0,Lyft
2021,6,4130290,23.63,1.03,4.86,97586746.0,Lyft
2023,6,13805417,26.17,1.21,5.11,361259354.0,Uber
2023,9,5539115,23.58,1.21,4.87,130605302.0,Lyft
2023,8,5178507,22.75,1.14,5.1,117795354.0,Lyft
2021,6,83834,30.73,0.62,5.56,2576202.0,Via
2023,9,14310124,26.89,1.21,5.17,384837582.0,Uber
2022,9,4890998,23.0,1.16,4.92,112475942.0,Lyft
2023,6,5554331,23.62,1.19,5.17,131184876.0,Lyft
2021,6,10719723,23.84,0.83,4.91,255520901.0,Uber
2020,6,130013,24.58,0.44,5.93,3196347.0,Via
2020,6,5104714,19.3,0.53,4.56,98531613.0,Uber
2023,8,13140619,24.87,1.1,5.27,326871960.0,Uber
2021,12,11779769,22.29,1.04,4.93,262539864.0,Uber
2022,3,13116580,22.99,1.01,4.96,301492260.0,Uber
2019,2,4690386,17.12,0.8,4.91,80307700.0,Lyft
2022,3,5317000,21.21,0.99,4.79,112777463.0,Lyft
2019,2,13429859,15.8,0.42,4.7,212254744.0,Uber
2019,2,983720,8.42,0.17,3.54,8283842.0,Via
2019,2,979077,16.07,0.28,4.05,15730730.0,Juno
2020,5,4350055,17.1,0.45,4.51,74404283.0,Uber
2020,5,109123,22.92,0.39,5.84,2500651.0,Via
2023,2,4679891,21.23,1.01,4.8,99352116.0,Lyft
2023,2,13266935,22.73,0.88,4.82,301527515.0,Uber
2025,3,14546396,28.71,1.1,5.08,417683282.0,Uber
2020,5,1621357,18.49,0.63,5.16,29975458.0,Lyft
2025,3,5989608,24.89,1.14,4.9,149095695.0,Lyft
2023,4,13986279,25.03,1.11,5.01,350022937.0,Uber
2023,4,5146302,22.83,1.15,5.05,117509248.0,Lyft
2020,12,3023261,18.42,0.74,4.67,55680510.0,Lyft
2021,9,88096,19.98,0.44,4.32,1760448.0,Via
2023,7,13730791,24.74,1.15,5.16,339680373.0,Uber
2024,4,14703216,26.01,1.15,4.98,382389245.0,Uber
2020,12,8476781,17.27,0.43,4.42,146431006.0,Uber
2021,9,4240249,23.62,1.08,5.03,100149886.0,Lyft
2020,12,127290,25.84,0.46,5.91,3288836.0,Via
2024,4,5028643,25.52,1.27,5.18,128320620.0,Lyft
2021,9,10537189,24.26,1.0,4.96,255625762.0,Uber
2023,7,5399917,22.7,1.15,5.06,122581521.0,Lyft
